004a000b	PR_DISC_VAL PidTagDiscVal
004b001f+A	PR_ORIG_MESSAGE_CLASS PidTagOriginalMessageClass
004c0102	PR_ORIGINAL_AUTHOR_ENTRYID PidTagOriginalAuthorEntryId
004d001f	PR_ORIGINAL_AUTHOR_NAME PidTagOriginalAuthorName
004e0040	PR_ORIGINAL_SUBMIT_TIME PidTagOriginalSubmitTime
004f0102	PR_REPLY_RECIPIENT_ENTRIES PidTagReplyRecipientEntries
0050001f	PR_REPLY_RECIPIENT_NAMES PidTagReplyRecipientNames
00500102	PR_CERT_SECURITY_LABEL
0051001f	PR_CERT_DISPLAY_NAME_W
00510102	PR_RECEIVED_BY_SEARCH_KEY PidTagReceivedBySearchKey
00520102	PR_RCVD_REPRESENTING_SEARCH_KEY PidTagReceivedRepresentingSearchKey
00530102	PR_READ_RECEIPT_SEARCH_KEY PidTagReadReceiptSearchKey
00540102	PR_REPORT_SEARCH_KEY PidTagReportSearchKey
00550040	PR_ORIGINAL_DELIVERY_TIME PidTagOriginalDeliveryTime
00560102	PR_ORIGINAL_AUTHOR_SEARCH_KEY PidTagOriginalAuthorSearchKey
0057000b	PR_MESSAGE_TO_ME PidTagMessageToMe
0058000b	PR_MESSAGE_CC_ME PidTagMessageCcMe
0059000b	PR_MESSAGE_RECIP_ME PidTagMessageRecipientMe .MessageRecipMe
005a001f	PR_ORIGINAL_SENDER_NAME PidTagOriginalSenderName
005b0102	PR_ORIGINAL_SENDER_ENTRYID PidTagOriginalSenderEntryId
005c0102	PR_ORIGINAL_SENDER_SEARCH_KEY PidTagOriginalSenderSearchKey
005d001f	PR_ORIGINAL_SENT_REPRESENTING_NAME PidTagOriginalSentRepresentingName
005e0102	PR_ORIGINAL_SENT_REPRESENTING_ENTRYID PidTagOriginalSentRepresentingEntryId
005f0102	PR_ORIGINAL_SENT_REPRESENTING_SEARCH_KEY PidTagOriginalSentRepresentingSearchKey
00600040	PR_START_DATE PidTagStartDate
00610040	PR_END_DATE PidTagEndDate
00620003	PR_OWNER_APPT_ID PidTagOwnerAppointmentId .OwnerApptId
0063000b	PR_RESPONSE_REQUESTED PidTagResponseRequested
0064001f+A	PR_SENT_REPRESENTING_ADDRTYPE PidTagSentRepresentingAddressType
0065001f+A	PR_SENT_REPRESENTING_EMAIL_ADDRESS PidTagSentRepresentingEmailAddress
0066001f	PR_ORIGINAL_SENDER_ADDRTYPE PidTagOriginalSenderAddressType
0067001f	PR_ORIGINAL_SENDER_EMAIL_ADDRESS PidTagOriginalSenderEmailAddress
0068001f	PR_ORIGINAL_SENT_REPRESENTING_ADDRTYPE PidTagOriginalSentRepresentingAddressType
0069001f	PR_ORIGINAL_SENT_REPRESENTING_EMAIL_ADDRESS PidTagOriginalSentRepresentingEmailAddress
0070001f+A	PR_CONVERSATION_TOPIC PidTagConversationTopic
00710102	PR_CONVERSATION_INDEX PidTagConversationIndex
0072001f	PR_ORIGINAL_DISPLAY_BCC PidTagOriginalDisplayBcc
